Japanese,English
hoka,other (Japanese origin) 
boku,I 
hoshii,want 
man,ten thousand 
mieru,be visible 
michi,street 
itsutsu,five (things) 
me,eye 
yattsu,eight (things) 
tomeru,stop (a car…). 止める (yameru) give up 
yokka,four days 
yoru,night (from sunset to sunrise) 
rainen,next year 
roku,six 
warui,bad 
otearai,toilet 
goshujin,(someone else’s) husband 
hontouni,really 
jibun,self 
tame,sake 
mitsukaru,be found 
yasumu,take a rest 
yukkuri,slowly 
muttsu,six (things) 
hana,flower 
ugoku,move 
sen,line 
nanoka,seven days 
igai,except for 
otoko,man 
kare,he 
onna,woman 
tsuma,woman 
hyaku,hundred 
atari,vicinity 
mise,shop 
shimaru,be shut 
mondai,problem 
hitsuyou,need 
motsu,last long 
hiraku,open 
sakunen,last year (formal 
naoru,be cured 
doru,dollar 
shisutemu,system (loan word) 
ijou,more than 
saikin,recent 
sekai,world 
konpyu-ta-,computer 
yaru,give (to an inferior) 
imi,meaning 
fueru,increase 
erabu,choose 
seikatsu,life 
susumeru,go ahead 
tsuzukeru,continue 
hotondo,almost 
kaisha,company 
ie,house 
ooku,much 
hanashi,talk 
agaru,go up 
mou,another 
atsumeru,collect 
koe,voice 
hajimete,for the first time 
kawaru,change 
mazu,first of all 
shakai,society 
puroguramu,program booklet 
chikara,strength 
konkai,this time 
yotei,schedule 
mama,as is 
terebi,television 
heru,decrease 
kieru,be extinguished 
kazoku,family 
kuraberu,compare 
umareru,be born 
tada,free 
korera,these 
shiraberu,investigate 
jiko,accident 
denwa,telephone 
gaikoku,foreign country 
ginkou,bank 
juubun,enough 
amari,(not) much 
shashin,photograph 
kurikaesu,repeat 
shurui,kind 
iken,opinion 
shinbun,newspaper 
bunshou,sentence 
medatsu,stand out 
aite,opponent 
byouin,hospital 
atsui,thick 
isogashii,busy 
usui,thin 
kawa,river 
kurai,dark 
kurasu,class (in school) 
kuroi,black 
basu,bus 
aoi,blue 
kaimono,shopping 
kusuri,drug 
satou,sugar 
yasumi,holiday 
